,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link,Scientist,founded
7836,Grey-eyed Bulbul,Iole propinqua,passeriformes,pycnonotidae,iole,"(Oustalet, 1903)",3.5 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Grey-eyed Bulbul,https://www.iucnredlist.org/species/22713167/94362781,Oustalet,1903
7837,Buff-vented Bulbul,Iole charlottae,passeriformes,pycnonotidae,iole,"(Finsch, 1867)",3.5 years,825 metres,Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Buff-vented Bulbul,https://www.iucnredlist.org/species/22713170/94362975,Finsch,1867
7838,Sulphur-bellied Bulbul,Iole palawanensis,passeriformes,pycnonotidae,iole,"(Tweeddale, 1878)",3.5 years,,Decreasing,Forest,Least Concern,Sulphur-bellied Bulbul,https://www.iucnredlist.org/species/22713176/94363503,Tweeddale,1878
7839,Cream-striped Bulbul,Hemixos leucogrammicus,passeriformes,pycnonotidae,hemixos,"(Müller, 1835)",2.7 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Cream-striped Bulbul,https://www.iucnredlist.org/species/22712610/94338607,Müller,1835
7840,Ashy Bulbul,Hemixos flavala,passeriformes,pycnonotidae,hemixos,"Blyth, 1845",3.5 years,"1,600 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Ashy Bulbul,https://www.iucnredlist.org/species/103822632/94365071,Blyth,1845
7841,Chestnut Bulbul,Hemixos castanonotus,passeriformes,pycnonotidae,hemixos,"Swinhoe, 1870",3.5 years,,Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Chestnut Bulbul,https://www.iucnredlist.org/species/22713204/94365324,Swinhoe,1870
7842,Cinereous Bulbul,Hemixos cinereus,passeriformes,pycnonotidae,hemixos,"(Blyth, 1845)",3.5 years,"2,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Cinereous Bulbul,https://www.iucnredlist.org/species/103822693/104137578,Blyth,1845
7843,Green-winged Bulbul,,,,,,,,,,Least Concern,Green-winged Bulbul,https://www.iucnredlist.org/species/103822666/113106245,,
7844,Nicobar Bulbul,Ixos nicobariensis,passeriformes,pycnonotidae,ixos,"(Moore, 1854)",3.30 years,600 metres,Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Nicobar Bulbul,https://www.iucnredlist.org/species/22713250/94367234,Moore,1854
7845,Mountain Bulbul,Ixos mcclellandii,passeriformes,pycnonotidae,ixos,"(Horsfield, 1840)",3.3 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Mountain Bulbul,https://www.iucnredlist.org/species/22713207/94365521,Horsfield,1840
7846,Streaked Bulbul,Ixos malaccensis,passeriformes,pycnonotidae,ixos,"(Blyth, 1845)",3.5 years,,Decreasing,Forest,Near Threatened,Streaked Bulbul,https://www.iucnredlist.org/species/22713198/94364769,Blyth,1845
7847,Sumatran Bulbul,Ixos sumatranus,passeriformes,pycnonotidae,ixos,"(Wardlaw Ramsay, 1882)",3.3 years,"3,000 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Sumatran Bulbul,https://www.iucnredlist.org/species/103823086/113106779,Wardlaw Ramsay,1882
7848,Javan Bulbul,Ixos virescens,passeriformes,pycnonotidae,ixos,"(Temminck, 1825)",3.3 years,"3,000 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Javan Bulbul,https://www.iucnredlist.org/species/103823071/113107307,Temminck,1825
7849,Zamboanga Bulbul,Hypsipetes rufigularis,passeriformes,pycnonotidae,hypsipetes,"Sharpe, 1877",3.5 years,,Decreasing,Forest,Near Threatened,Zamboanga Bulbul,https://www.iucnredlist.org/species/22713182/131968765,Sharpe,1877
7850,Yellowish Bulbul,Hypsipetes everetti,passeriformes,pycnonotidae,hypsipetes,"(Tweeddale, 1877)",3.5 years,"1,000 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Yellowish Bulbul,https://www.iucnredlist.org/species/103823433/94364608,Tweeddale,1877
7851,Camiguin Bulbul,Hypsipetes catarmanensis,passeriformes,pycnonotidae,hypsipetes,"(Rand & Rabor, 1969)",3.5 years,"1,000 metres",Stable,"Forest, Artificial/Terrestrial",Near Threatened,Camiguin Bulbul,https://www.iucnredlist.org/species/103823501/104138249,Rand & Rabor,1969
7852,Sulu Bulbul,Hypsipetes haynaldi,passeriformes,pycnonotidae,hypsipetes,"(Blasius, 1890)",3.5 years,"1,000 metres",Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Sulu Bulbul,https://www.iucnredlist.org/species/103823597/104138679,Blasius,1890
7853,Streak-breasted Bulbul,Hypsipetes siquijorensis,passeriformes,pycnonotidae,hypsipetes,"(Steere, 1890)",3.5 years,,Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Endangered,"Streak-breasted Bulbul, Mottle-breasted Bulbul",https://www.iucnredlist.org/species/22713185/117107155,Steere,1890
7854,Philippine Bulbul,Hypsipetes philippinus,passeriformes,pycnonotidae,hypsipetes,"(Forster, 1795)",3.5 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Philippine Bulbul,https://www.iucnredlist.org/species/22713179/131968585,Forster,1795
7855,Brown-eared Bulbul,Hypsipetes amaurotis,passeriformes,pycnonotidae,hypsipetes,"(Temminck, 1830)",3.5 years,,Increasing,"Forest, Artificial/Terrestrial",Least Concern,Brown-eared Bulbul,https://www.iucnredlist.org/species/22713192/131969016,Temminck,1830
7856,Seychelles Bulbul,Hypsipetes crassirostris,passeriformes,pycnonotidae,hypsipetes,"Newton, 1867",3.3 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,"Seychelles Bulbul, Seychelles Black Bulbul",https://www.iucnredlist.org/species/22713219/94366148,Newton,1867
7857,Reunion Bulbul,Hypsipetes borbonicus,passeriformes,pycnonotidae,hypsipetes,"(J.R. Forster, 1781)",3.3 years,"2,500 metres",Increasing,"Forest, Artificial/Terrestrial",Near Threatened,"Reunion Bulbul, Olivaceous Bulbul, Réunion Black Bulbul",https://www.iucnredlist.org/species/22713231/118659547,J.R. Forster,1781
7858,Mauritius Bulbul,Hypsipetes olivaceus,passeriformes,pycnonotidae,hypsipetes,"Jardine & Selby, 1835",3.3 years,800 metres,Stable,"Forest, Artificial/Terrestrial",Vulnerable,"Mauritius Bulbul, Mauritius Black Bulbul",https://www.iucnredlist.org/species/22713239/94366667,Jardine & Selby,1835
7859,Madagascar Bulbul,Hypsipetes madagascariensis,passeriformes,pycnonotidae,hypsipetes,"(P. L. S. Müller, 1776)",3.3 years,,Stable,"Forest, Savanna, Artificial/Terrestrial",Least Concern,"Madagascar Bulbul, Madagascar Black Bulbul, Malagasy Bulbul",https://www.iucnredlist.org/species/22713213/131969249,P. L. S. Müller,1776
7860,Grand Comoro Bulbul,Hypsipetes parvirostris,passeriformes,pycnonotidae,hypsipetes,"Milne-Edwards & Oustalet, 1885",3.3 years,,Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,"Grand Comoro Bulbul, Grand Comoro Black Bulbul",https://www.iucnredlist.org/species/103823897/94366310,MilneEdwards & Oustalet,1885
7861,Moheli Bulbul,Hypsipetes moheliensis,passeriformes,pycnonotidae,hypsipetes,"(Benson, 1960)",3.3 years,,Decreasing,"Forest, Artificial/Terrestrial",Endangered,Moheli Bulbul,https://www.iucnredlist.org/species/103823979/104139117,Benson,1960
7862,Square-tailed Bulbul,Hypsipetes ganeesa,passeriformes,pycnonotidae,hypsipetes,"Sykes, 1832",3.3 years,"2,600 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Square-tailed Bulbul,https://www.iucnredlist.org/species/103824080/113107743,Sykes,1832
7863,Black Bulbul,Hypsipetes leucocephalus,passeriformes,pycnonotidae,hypsipetes,"(Gmelin, 1789)",3.3 years,"2,100 metres",Stable,"Forest, Grassland, Artificial/Terrestrial",Least Concern,Black Bulbul,https://www.iucnredlist.org/species/103823996/94366953,Gmelin,1789
7864,Banggai Golden Bulbul,Hypsipetes harterti,passeriformes,pycnonotidae,hypsipetes,"(Stresemann, 1912)",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Banggai Golden Bulbul,https://www.iucnredlist.org/species/103842855/113109016,Stresemann,1912
7865,Sula Golden Bulbul,Hypsipetes longirostris,passeriformes,pycnonotidae,hypsipetes,"(Wallace, 1863)",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Sula Golden Bulbul,https://www.iucnredlist.org/species/103842733/104140959,Wallace,1863
7866,Togian Golden Bulbul,Hypsipetes aureus,passeriformes,pycnonotidae,hypsipetes,"(Walden, 1872)",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Togian Golden Bulbul,https://www.iucnredlist.org/species/103842202/113109364,Walden,1872
7867,Sangihe Golden Bulbul,Hypsipetes platenae,passeriformes,pycnonotidae,hypsipetes,"(Blasius, 1888)",2.9 years,"1,000 metres",Decreasing,Forest,Critically Endangered,"Sangihe Golden Bulbul, Sangihe Golden-bulbul",https://www.iucnredlist.org/species/103842251/134465614,Blasius,1888
7868,Halmahera Golden Bulbul,Hypsipetes chloris,passeriformes,pycnonotidae,hypsipetes,"(Finsch, 1867)",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Halmahera Golden Bulbul,https://www.iucnredlist.org/species/103841956/104140565,Finsch,1867
7869,Obi Golden Bulbul,Hypsipetes lucasi,passeriformes,pycnonotidae,hypsipetes,"Hartert, 1903",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Obi Golden Bulbul,https://www.iucnredlist.org/species/103841328/113109717,Hartert,1903
7870,Buru Golden Bulbul,Hypsipetes mysticalis,passeriformes,pycnonotidae,hypsipetes,"(Wallace, 1863)",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Buru Golden Bulbul,https://www.iucnredlist.org/species/103840832/104141312,Wallace,1863
7871,Seram Golden Bulbul,Hypsipetes affinis,passeriformes,pycnonotidae,hypsipetes,"(Hombron & Jacquinot, 1841)",2.9 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Seram Golden Bulbul,https://www.iucnredlist.org/species/103838632/94361899,Hombron & Jacquinot,1841
7872,White-headed Bulbul,Hypsipetes thompsoni,passeriformes,pycnonotidae,hypsipetes,"Bingham, 1900",3.3 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,White-headed Bulbul,https://www.iucnredlist.org/species/22713253/94367535,Bingham,1900
7873,Crested Finchbill,Spizixos canifrons,passeriformes,pycnonotidae,spizixos,"Blyth, 1845",2.9 years,"4,000 metres",Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Crested Finchbill,https://www.iucnredlist.org/species/22712597/94337611,Blyth,1845
7874,Collared Finchbill,Spizixos semitorques,passeriformes,pycnonotidae,spizixos,"Swinhoe, 1961",2.9 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Collared Finchbill,https://www.iucnredlist.org/species/22712600/94337830,Swinhoe,1961
7875,Striated Bulbul,Alcurus striatus,passeriformes,pycnonotidae,alcurus,"(Blyth, 1842)",2.7 years,,Stable,Forest,Least Concern,Striated Bulbul,https://www.iucnredlist.org/species/22712607/94338402,Blyth,1842
7876,Black-capped Bulbul,Rubigula melanictera,passeriformes,pycnonotidae,rubigula,"(Gmelin, 1789)",2.7 years,,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Black-capped Bulbul,https://www.iucnredlist.org/species/103825842/94339991,Gmelin,1789
7877,Flame-throated Bulbul,Rubigula gularis,passeriformes,pycnonotidae,rubigula,"(Gould, 1836)",2.7 years,,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Flame-throated Bulbul,https://www.iucnredlist.org/species/103826116/104339313,Gould,1836
7878,Black-crested Bulbul,Rubigula flaviventris,passeriformes,pycnonotidae,rubigula,"(Tickell, 1833)",2.7 years,,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Black-crested Bulbul,https://www.iucnredlist.org/species/103826151/104338610,Tickell,1833
7879,Ruby-throated Bulbul,Rubigula dispar,passeriformes,pycnonotidae,rubigula,"(Horsfield, 1821)",4.1 years,"1,000 metres",Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,Ruby-throated Bulbul,https://www.iucnredlist.org/species/103827052/182934014,Horsfield,1821
7880,Bornean Bulbul,Rubigula montis,passeriformes,pycnonotidae,rubigula,"Sharpe, 1879",2.7 years,,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Bornean Bulbul,https://www.iucnredlist.org/species/103827210/104339614,Sharpe,1879
7881,Scaly-breasted Bulbul,Ixidia squamata,passeriformes,pycnonotidae,ixidia,"(Temminck, 1828)",2.7 years,,Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Scaly-breasted Bulbul,https://www.iucnredlist.org/species/22712628/94340285,Temminck,1828
7882,Grey-bellied Bulbul,Ixidia cyaniventris,passeriformes,pycnonotidae,ixidia,"(Blyth, 1842)",2.7 years,,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Near Threatened,Grey-bellied Bulbul,https://www.iucnredlist.org/species/22712631/94340584,Blyth,1842
7883,Spectacled Bulbul,Ixidia erythropthalmos,passeriformes,pycnonotidae,ixidia,"(Hume, 1878)",2.7 years,,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Spectacled Bulbul,https://www.iucnredlist.org/species/22712747/94347338,Hume,1878
7884,Straw-headed Bulbul,Pycnonotus zeylanicus,passeriformes,pycnonotidae,pycnonotus,"(Gmelin, 1789)",6.4 years,"1,600 metres",Decreasing,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Critically Endangered,"Straw-headed Bulbul, Straw-crowned Bulbul",https://www.iucnredlist.org/species/22712603/183176477,Gmelin,1789
7885,Spot-necked Bulbul,Pycnonotus tympanistrigus,passeriformes,pycnonotidae,pycnonotus,"(Müller, 1835)",2.7 years,"1,400 metres",Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Spot-necked Bulbul,https://www.iucnredlist.org/species/22712613/94338779,Müller,1835
7886,Red-whiskered Bulbul,Pycnonotus jocosus,passeriformes,pycnonotidae,pycnonotus,"(Linnaeus, 1758)",2.7 years,,Decreasing,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Red-whiskered Bulbul, Red-whiskered BulbulI",https://www.iucnredlist.org/species/22712634/119273079,Linnaeus,1758
7887,Brown-breasted Bulbul,Pycnonotus xanthorrhous,passeriformes,pycnonotidae,pycnonotus,"Anderson, 1869",2.7 years,,Stable,"Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Brown-breasted Bulbul,https://www.iucnredlist.org/species/22712640/94341228,Anderson,1869
7888,Light-vented Bulbul,Pycnonotus sinensis,passeriformes,pycnonotidae,pycnonotus,"(Gmelin, 1789)",2.7 years,,Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Light-vented Bulbul,https://www.iucnredlist.org/species/22712643/132100908,Gmelin,1789
7889,Styan's Bulbul,Pycnonotus taivanus,passeriformes,pycnonotidae,pycnonotus,"Styan, 1893",3.2 years,"1,500 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Vulnerable,"Styan's Bulbul, Taiwan Bulbul",https://www.iucnredlist.org/species/22712646/154730970,Styan,1893
7890,Himalayan Bulbul,Pycnonotus leucogenys,passeriformes,pycnonotidae,pycnonotus,"(Gray, 1835)",2.7 years,"2,400 metres",Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Himalayan Bulbul, White-cheeked Bulbul, White-eared Bulbul",https://www.iucnredlist.org/species/22712690/94343238,Gray,1835
7891,White-eared Bulbul,,,,,,,,,,,,https://www.iucnredlist.org/search?query=White-eared%20Bulbul&searchType=species,,
7892,Red-vented Bulbul,Pycnonotus cafer,passeriformes,pycnonotidae,pycnonotus,"(Linnaeus, 1766)",2.7 years,,Increasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Red-vented Bulbul,https://www.iucnredlist.org/species/22712695/132102224,Linnaeus,1766
7893,Sooty-headed Bulbul,Pycnonotus aurigaster,passeriformes,pycnonotidae,pycnonotus,"(Vieillot, 1818)",2.7 years,,Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Sooty-headed Bulbul,https://www.iucnredlist.org/species/22712699/94343785,Vieillot,1818
7894,White-spectacled Bulbul,Pycnonotus xanthopygos,passeriformes,pycnonotidae,pycnonotus,"(Ehrenberg, 1833)",2.7 years,"3,200 metres",Increasing,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"White-spectacled Bulbul, White-eyed Bulbul, Yellow-vented Bulbul",https://www.iucnredlist.org/species/22712681/155532923,Ehrenberg,1833
7895,Black-fronted Bulbul,Pycnonotus nigricans,passeriformes,pycnonotidae,pycnonotus,"(Vieillot, 1818)",2.7 years,,Increasing,"Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Black-fronted Bulbul, African Red-eyed Bulbul, Red-eyed Bulbul",https://www.iucnredlist.org/species/22712671/132101672,Vieillot,1818
7896,Cape Bulbul,Pycnonotus capensis,passeriformes,pycnonotidae,pycnonotus,"(Linnaeus, 1766)",2.7 years,,Stable,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Cape Bulbul,https://www.iucnredlist.org/species/22712677/94342712,Linnaeus,1766
7897,Common Bulbul,Pycnonotus barbatus,passeriformes,pycnonotidae,pycnonotus,"(Desfontaine, 1789)",2.7 years,"3,000 metres",Increasing,"Forest, Savanna, Shrubland, Wetlands (inland), Desert, Artificial/Terrestrial",Least Concern,Common Bulbul,https://www.iucnredlist.org/species/22712650/132101179,Desfontaine,1789
7898,Blue-wattled Bulbul,Pycnonotus nieuwenhuisii,passeriformes,pycnonotidae,pycnonotus,"(Finsch, 1901)",2.7 years,700 metres,Stable,"Forest, Shrubland, Wetlands (inland)",Data Deficient,Blue-wattled Bulbul,https://www.iucnredlist.org/species/22712705/110040705,Finsch,1901
7899,Aceh Bulbul,Pycnonotus snouckaerti,passeriformes,pycnonotidae,pycnonotus,"Siebers, 1928",3.5 years,,Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Endangered,Aceh Bulbul,https://www.iucnredlist.org/species/103831996/175700852,Siebers,1928
7900,Orange-spotted Bulbul,Pycnonotus bimaculatus,passeriformes,pycnonotidae,pycnonotus,"(Horsfield, 1821)",3.3 years,"3,000 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Near Threatened,Orange-spotted Bulbul,https://www.iucnredlist.org/species/103828414/182928949,Horsfield,1821
7901,Pale-eyed Bulbul,Pycnonotus davisoni,passeriformes,pycnonotidae,pycnonotus,"(Hume, 1875)",2.7 years,"1,300 metres",Stable,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Pale-eyed Bulbul,https://www.iucnredlist.org/species/103833944/113108064,Hume,1875
7902,Stripe-throated Bulbul,Pycnonotus finlaysoni,passeriformes,pycnonotidae,pycnonotus,"Strickland, 1844",2.7 years,"1,300 metres",Stable,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Stripe-throated Bulbul,https://www.iucnredlist.org/species/103833866/94344875,Strickland,1844
7903,Yellow-throated Bulbul,Pycnonotus xantholaemus,passeriformes,pycnonotidae,pycnonotus,"(Jerdon, 1845)",2.7 years,"1,800 metres",Decreasing,"Forest, Shrubland, Rocky areas (eg. inland cliffs, mountain peaks)",Vulnerable,Yellow-throated Bulbul,https://www.iucnredlist.org/species/22712719/94345114,Jerdon,1845
7904,Yellow-eared Bulbul,Pycnonotus penicillatus,passeriformes,pycnonotidae,pycnonotus,"Blyth, 1851",3.64 years,"2,200 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Yellow-eared Bulbul,https://www.iucnredlist.org/species/22712722/185455076,Blyth,1851
7905,Flavescent Bulbul,Pycnonotus flavescens,passeriformes,pycnonotidae,pycnonotus,"Blyth, 1845",2.7 years,"2,100 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Flavescent Bulbul,https://www.iucnredlist.org/species/103834344/94345772,Blyth,1845
7906,Pale-faced Bulbul,Pycnonotus leucops,passeriformes,pycnonotidae,pycnonotus,"(Sharpe, 1888)",2.7 years,"3,500 metres",Stable,"Forest, Shrubland",Least Concern,Pale-faced Bulbul,https://www.iucnredlist.org/species/103834499/104340974,Sharpe,1888
7907,Yellow-vented Bulbul,Pycnonotus goiavier,passeriformes,pycnonotidae,pycnonotus,"(Scopoli, 1786)",2.7 years,,Increasing,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Yellow-vented Bulbul,https://www.iucnredlist.org/species/22712731/94346183,Scopoli,1786
7908,White-browed Bulbul,Pycnonotus luteolus,passeriformes,pycnonotidae,pycnonotus,"(Lesson, 1841)",2.7 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,White-browed Bulbul,https://www.iucnredlist.org/species/22712728/94345997,Lesson,1841
7909,Olive-winged Bulbul,Pycnonotus plumosus,passeriformes,pycnonotidae,pycnonotus,"Blyth, 1845",2.7 years,500 metres,Stable,"Forest, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Olive-winged Bulbul,https://www.iucnredlist.org/species/103834549/94346461,Blyth,1845
7910,Ashy-fronted Bulbul,Pycnonotus cinereifrons,passeriformes,pycnonotidae,pycnonotus,"(Tweeddale, 1878)",2.7 years,500 metres,Stable,"Forest, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Ashy-fronted Bulbul,https://www.iucnredlist.org/species/103834609/113108448,Tweeddale,1878
7911,Streak-eared Bulbul,Pycnonotus blanfordi,passeriformes,pycnonotidae,pycnonotus,"Jerdon, 1862",2.7 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Streak-eared Bulbul,https://www.iucnredlist.org/species/22712737/94346692,Jerdon,1862
7912,Cream-vented Bulbul,Pycnonotus simplex,passeriformes,pycnonotidae,pycnonotus,"Lesson, 1839",2.7 years,"1,100 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Cream-vented Bulbul,https://www.iucnredlist.org/species/155218901/155219616,Lesson,1839
7913,Cream-eyed Bulbul,Pycnonotus pseudosimplex,passeriformes,pycnonotidae,pycnonotus,"Shakya et al., 2019",2.7 years,500 metres,Decreasing,Forest,Least Concern,Cream-eyed Bulbul,https://www.iucnredlist.org/species/155219571/155220740,Shakya et al.,2019
7914,Red-eyed Bulbul,Pycnonotus nigricans,passeriformes,pycnonotidae,pycnonotus,"(Vieillot, 1818)",2.7 years,,Increasing,"Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Black-fronted Bulbul, African Red-eyed Bulbul, Red-eyed Bulbul",https://www.iucnredlist.org/species/22712671/132101672,Vieillot,1818
7915,Bare-faced Bulbul,Nok hualon,passeriformes,pycnonotidae,nok,"(Woxvold, Duckworth & Timmins, 2009)",2.7 years,,Decreasing,Forest,Least Concern,Bare-faced Bulbul,https://www.iucnredlist.org/species/22735824/95119271,"Woxvold,Duckworth & Timmins",2009
7916,Puff-backed Bulbul,Euptilotus eutilotus,passeriformes,pycnonotidae,euptilotus,"(Jardine & Selby, 1837)",2.7 years,,Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Near Threatened,Puff-backed Bulbul,https://www.iucnredlist.org/species/22712702/94344035,Jardine & Selby,1837
7917,Black-and-white Bulbul,Microtarsus melanoleucos,passeriformes,pycnonotidae,microtarsus,"Eyton, 1839",2.7 years,"1,830 metres",Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Black-and-white Bulbul,https://www.iucnredlist.org/species/22712616/94339056,Eyton,1839
7918,Black-headed Bulbul,Brachypodius atriceps,passeriformes,pycnonotidae,brachypodius,"(Temminck, 1822)",2.7 years,,Stable,"Forest, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Black-headed Bulbul,https://www.iucnredlist.org/species/103836079/94339713,Temminck,1822
7919,Andaman Bulbul,Brachypodius fuscoflavescens,passeriformes,pycnonotidae,brachypodius,"Hume, 1873",2.7 years,,Decreasing,Forest,Least Concern,Andaman Bulbul,https://www.iucnredlist.org/species/103836280/132045044,Hume,1873
7920,Grey-headed Bulbul,Brachypodius priocephalus,passeriformes,pycnonotidae,brachypodius,"(Jerdon, 1839)",2.7 years,"1,400 metres",Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Grey-headed Bulbul,https://www.iucnredlist.org/species/22712619/94339381,Jerdon,1839
7921,Yellow-wattled Bulbul,Poliolophus urostictus,passeriformes,pycnonotidae,poliolophus,"(Salvadori, 1870)",2.7 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Yellow-wattled Bulbul,https://www.iucnredlist.org/species/22712710/94344535,Salvadori,1870
7922,Yellow-browed Bulbul,Acritillas indica,passeriformes,pycnonotidae,acritillas,"(Jerdon, 1839)",3.5 years,,Stable,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Yellow-browed Bulbul,https://www.iucnredlist.org/species/22713173/94363317,Jerdon,1839
7923,Eastern Bonelli's Warbler,Phylloscopus orientalis,passeriformes,phylloscopidae,phylloscopus,"(Brehm, 1855)",3.6 years,"1,800 metres",Increasing,"Forest, Savanna, Shrubland",Least Concern,"Eastern Bonelli's Warbler, Balkan Warbler",https://www.iucnredlist.org/species/22729503/104142739,Brehm,1855
7924,Western Bonelli's Warbler,Phylloscopus bonelli,passeriformes,phylloscopidae,phylloscopus,"(Vieillot, 1819)",3.6 years,"2,000 metres",Stable,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland)",Least Concern,Western Bonelli's Warbler,https://www.iucnredlist.org/species/22715255/87665883,Vieillot,1819
7925,Wood Warbler,Phylloscopus sibilatrix,passeriformes,phylloscopidae,phylloscopus,"(Bechstein, 1793)",3.6 years,,Decreasing,"Forest, Savanna",Least Concern,Wood Warbler,https://www.iucnredlist.org/species/22715260/87668662,Bechstein,1793
7926,Chinese Leaf-warbler,Phylloscopus yunnanensis,passeriformes,phylloscopidae,phylloscopus,"Alström, Olsson & Colston, 1992",3.6 years,"2,800 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Chinese Leaf-warbler, Chinese Leaf Warbler",https://www.iucnredlist.org/species/22732052/95041483,"Alström,Olsson & Colston",1992
7927,Brooks's Leaf-warbler,Phylloscopus subviridis,passeriformes,phylloscopidae,phylloscopus,"(Brooks, 1872)",3.6 years,"2,700 metres",Stable,"Forest, Shrubland",Least Concern,"Brooks's Leaf-warbler, Brooks's Leaf Warbler, Brooks's Leaf-Warbler",https://www.iucnredlist.org/species/22715305/94448067,Brooks,1872
7928,Yellow-browed Warbler,Phylloscopus inornatus,passeriformes,phylloscopidae,phylloscopus,"(Blyth, 1842)",3.6 years,"2,440 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Yellow-browed Warbler, Inornate Warbler",https://www.iucnredlist.org/species/22715310/146638886,Blyth,1842
7929,Hume's Leaf-warbler,Phylloscopus humei,passeriformes,phylloscopidae,phylloscopus,"(Brooks, 1878)",3.6 years,"3,980 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Hume's Leaf-warbler, Hume's Leaf Warbler",https://www.iucnredlist.org/species/22729514/95017938,Brooks,1878
