,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,conservation status,ecomorphological guild,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,geographic distribution includes,habitat,population trend,biogeographic realm,body mass,foraging habitat,life span,trophic guild,weight,host of,eats,ecoregion,type specimen repository,body shape,diet includes,mating system,native range includes,parental care,social system,preys on,number of public records in bold,behavioral circadian rhythm,bill length,genome size,tarsus length,temperature at range midpoint latitude,basal metabolic rate,litters per year,prenatal development duration,body temperature,parasitized by,middle toe length,has ectoparasite,is vector for,growth rate,onset of fertility,has endoparasite,visits flowers of,motility,sensory system,is eaten by,preyed upon by,used for,tarsometatarsus + middle toe length,body length,pathogen of,has host,initial mortality rate,mortality rate doubling time,symbiont of,clutch/brood/litter size,egg mass,has pathogen,harvested in,mutualistic with,mineralized tissue contains,reproduction,standard length,water depth,Total length,parasite of,trophic level,visits,is killed by,invasive in,Leaf Complexity,leaf morphology,life cycle habit,photosynthetic pathway,plant growth form,plant lifeform,produces,seed dry mass,after harvest regrowth rate,anaerobic soil tolerance,bloom period,calcareous soil tolerance,fire resistance,fire tolerance,fruit or seed color,planting density,precipitation tolerance,seeds per pound,spore arrangement,leaf sheddability,fruit type,leaf lamina area,leaf mass per area,leaf nitrogen per dry mass,vegetative plant height,leaf arrangement,developmental mode,wing morphology,supporting structures and enclosures,diet breadth,geographic range (size of area),habitat breadth,social group size,territorial
0,Clamorous reed warbler,Animalia,Chordata,Aves,https://eol.org/pages/45515419,"Acrocephalus stentoreus (Clamorous Reed Warbler) is a species of birds in the family Acrocephalidae. They are found in the indo-malayan realm, australasia, the palearctic, and Afrotropics. They rely on flight to move around.",tympanic middle ear,,,,,flight,apatite,corneal eyes,Bahrain,freshwater habitat,Stable,the indo-malayan realm,28.5 g,,10.6 years,,24.2 g,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clapper rail,Animalia,Chordata,Aves,https://eol.org/pages/45509097,Rallus crepitans (Clapper Rail) is a species of birds in the family rails. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,United States,"coastal,freshwater habitat",Decreasing,,,,,,,,Uca pugnax Smith 1870 (Atlantic marsh fiddler),,,,,,,,,,,,,,,,,,,,Amphimerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clappertons spurfowl,Animalia,Chordata,Aves,https://eol.org/pages/45513787,Pternistis clappertoni (Clapperton's Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,terrestrial,Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clarión wren,Animalia,Chordata,Aves,https://eol.org/pages/45510120,Troglodytes tanneri (Clarion Wren) is a species of birds in the family wrens. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,otoliths,vulnerable,,,10 dB,bipedal movement,apatite,corneal eyes,North Pacific,"arid,terrestrial",Stable,The Neotropics,,,,,,,,Islas Revillagigedo Dry Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clarkes weaver,Animalia,Chordata,Aves,https://eol.org/pages/45514978,Ploceus golandi (Clarke's Weaver) is a species of birds in the family Weavers & allies. They are listed as endangered by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,endangered,,,10 dB,bipedal movement,apatite,corneal eyes,Kenya,"subtropical,terrestrial",Decreasing,Afrotropics,27 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clarks grebe,Animalia,Chordata,Aves,https://eol.org/pages/45509036,Aechmophorus clarkii (Clark's Grebe) is a species of birds in the family grebes. They are found in The Nearctic and The Neotropics. They rely on flight and drag powered swimming to move around.,tympanic middle ear,,nectonic,,,flight,apatite,corneal eyes,United States,"mountain,terrestrial",Decreasing,The Nearctic,,,,,,,Dytiscidae (predaceous diving beetles),,,,,,,,,Osmeridae (smelts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clarks nutcracker,Animalia,Chordata,Aves,https://eol.org/pages/45509998,Nucifraga columbiana (Clark's Nutcracker) is a species of birds in the family Corvidae. They are native to United States and The Nearctic. They are herbivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,,,,,flight,,,United States,,Stable,The Nearctic,,,,granivore,,,,,,bilaterally symmetric,seeds,monogamous,United States,,group living,,,,,,,,,1 /year,18 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Claudias leaf warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517037,Phylloscopus claudiae (Claudia's Leaf Warbler) is a species of birds in the family Phylloscopidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Cambodia,"temperate,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Clicking shrikebabbler,Animalia,Chordata,Aves,https://eol.org/pages/45516855,Pteruthius intermedius (Clicking Shrike Babbler) is a species of birds in the family vireos. They rely on flight to move around.,otoliths,,,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Cambodia,tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cliff flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45513159,Hirundinea ferruginea (Cliff Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,South Atlantic,headwater,,The Neotropics,42 g,,,,,,,Eastern Cordillera Real Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cliff parakeet,Animalia,Chordata,Aves,https://eol.org/pages/1275778,Myiopsitta luchsi (Cliff Parakeet) is a species of birds in the family parrots. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,"cliff,terrestrial",Unknown,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cliff swallow,Animalia,Chordata,Aves,https://eol.org/pages/45511470,Petrochelidon pyrrhonota (American Cliff Swallow) is a species of birds in the family swallows. They are found in The Nearctic and The Neotropics. They are diurnal. They rely on flight to move around.,,,,,,flight,,,United States,mountain,Increasing,The Nearctic,,,11.8 years,,23.24 g,,Chlamisus (Cloaked Warty Leaf Beetles),,NHMUK,,,,,,,,,,,,,,,1 /year,14 days,,,,,,0.558 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514509,Cisticola textrix (Cloud Cisticola) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,bipedal movement,apatite,corneal eyes,Mozambique,"subtropical,marine",Decreasing,Afrotropics,10 g,,,,,,,,,,,,,,,,,,,1.147 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloudforest pygmy owl,Animalia,Chordata,Aves,https://eol.org/pages/1036393,Glaucidium nubicola (Cloud Forest Pygmy Owl) is a species of birds in the family typical owls. They are listed as vulnerable by IUCN and in cites appendix ii. They rely on flight to move around.,tympanic middle ear,vulnerable,,5000 Hz,-15 dB,bipedal movement,apatite,corneal eyes,Ecuador,"temperate,terrestrial",Decreasing,,79 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coal tit,Animalia,Chordata,Aves,https://eol.org/pages/45515260,Periparus ater (Coal Tit) is a species of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,United States,subtropical,Decreasing,,10.7 g,,9.5 years,,9.2 g,,Sambucus nigra L. (Elder),,,,,,,,,,,,,,,,,,,,,,,,0.36 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus pinea L. (stone pine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coastal cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514488,Cisticola haematocephalus (Coastal Cisticola) is a species of birds in the family African warblers. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,,coastal plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coastal miner,Animalia,Chordata,Aves,https://eol.org/pages/918427,Geositta peruviana (Coastal Miner) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,bipedal movement,apatite,corneal eyes,Peru,"tropical,terrestrial",Stable,The Neotropics,22.2 g,,,,,,,Sechura Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cobbs wren,Animalia,Chordata,Aves,https://eol.org/pages/7260710,Troglodytes cobbi (Cobb's Wren) is a species of birds in the family wrens. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,South Atlantic,"coastal,terrestrial",Stable,The Neotropics,20 g,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocha antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45512631,Thamnophilus praecox (Cocha Antshrike) is a species of birds in the family typical antbirds. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,otoliths,near threatened,,,10 dB,bipedal movement,apatite,corneal eyes,Colombia,"tropical,freshwater habitat",Decreasing,The Neotropics,,,,,,,,Napo Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cochabamba mountain finch,Animalia,Chordata,Aves,https://eol.org/pages/1050387,Compsospiza garleppi (Cochabamba Mountain Finch) is a species of birds in the family tanagers. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Bolivia,mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cockatiel,Animalia,Chordata,Aves,https://eol.org/pages/1177835,"Nymphicus hollandicus (Cockatiel) is a species of birds in the family cockatoos. They are associated with freshwater habitat. They are native to Australia. They are diurnal herbivores. They have parental care (female provides care, paternal care, and cooperative breeding). They rely on flight to move around.",,,,,,,,,United States,,Stable,,,,,granivore,,,,,"University Museum of Zoology, Cambridge",bilaterally symmetric,seeds,monogamous,Australia,,group living,,,,13.7 mm,,15.4 mm,13.1 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cockerells fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518651,Rhipidura cockerelli (Cockerell's Fantail) is a species of birds in the family Rhipiduridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,South Pacific,tropical,,australasia,18.5 g,,,,,,,Solomon Islands Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocoa thrush,Animalia,Chordata,Aves,https://eol.org/pages/45510224,Turdus fumigatus (Cocoa Thrush) is a species of birds in the family thrushes. They are found in The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,South Atlantic,"headwater,freshwater habitat",Decreasing,The Neotropics,76 g,terrestrial,,invertivore,,,"Sorocea bonplandii (Baill.) Burger, Lanj. & Boer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocoa woodcreeper,Animalia,Chordata,Aves,https://eol.org/pages/45511715,Xiphorhynchus susurrans (Cocoa Woodcreeper) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,North Pacific,"tropical,terrestrial",Decreasing,The Neotropics,59 g,,,,,,,Cordillera La Costa Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocoi heron,Animalia,Chordata,Aves,https://eol.org/pages/45511514,Ardea cocoi (Cocoi Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,South Pacific,"freshwater,terrestrial",Increasing,The Neotropics,3200 g,,24.4 years,,1937.7 g,,,,,,,,,,,Helicops (Leopard Keelback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coconut lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/45517913,Trichoglossus haematodus (Coconut Lorikeet) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in the indo-malayan realm and australasia. They are diurnal. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,,flight,,corneal eyes,United States,"savanna,terrestrial",Decreasing,the indo-malayan realm,,,16.1 years,,115.1 g,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocos cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45511572,Coccyzus ferrugineus (Cocos Cuckoo) is a species of birds in the family Cuculidae. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,vulnerable,,,,bipedal movement,apatite,corneal eyes,North Pacific,"marine,terrestrial",Stable,The Neotropics,70 g,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocos finch,Animalia,Chordata,Aves,https://eol.org/pages/45510502,Pinaroloxias inornata (Cocos Finch) is a species of birds in the family tanagers. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,vulnerable,,,10 dB,bipedal movement,apatite,corneal eyes,Cocos [Keeling] Islands,"river,terrestrial",Stable,The Neotropics,13.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cocos flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45511759,Nesotriccus ridgwayi (Cocos Flycatcher) is a species of birds in the family tyrant flycatchers. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,vulnerable,,,10 dB,bipedal movement,apatite,corneal eyes,North Pacific,"subtropical,freshwater habitat",Stable,The Neotropics,11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coiba spinetail,Animalia,Chordata,Aves,https://eol.org/pages/45511662,Cranioleuca dissita (Coiba Spinetail) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,North Pacific,,,The Neotropics,,,,,,,,Isthmian-Pacific Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coleto,Animalia,Chordata,Aves,https://eol.org/pages/45517377,Sarcops calvus (Coleto) is a species of birds in the family starlings. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,United States,"tropical,terrestrial",Unknown,the indo-malayan realm,170 g,,,,,,Bischofia javanica Blume (Javanese bishopwood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Colima pygmy owl,Animalia,Chordata,Aves,https://eol.org/pages/45511590,Glaucidium palmarum (Colima Pygmy Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,-15 dB,bipedal movement,apatite,corneal eyes,Mexico,"tropical,terrestrial",Stable,The Neotropics,49 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Colima warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511078,Leiothlypis crissalis (Colima Warbler) is a species of birds in the family New World warblers. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,United States,"mountain,terrestrial",Stable,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45512624,Thamnophilus bernardi (Collared Antshrike) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Ecuador,subtropical,,,,,,,,,,,,,,,,,,,,,,1.415 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared aracari,Animalia,Chordata,Aves,https://eol.org/pages/45512555,"Pteroglossus torquatus (Collared Aracari) is a species of birds in the family Ramphastidae. They are native to The Neotropics. They are diurnal omnivores. They have parental care (cooperative breeding, female provides care, and paternal care). They rely on flight to move around.",,,,,,flight,,,United States,,Decreasing,The Neotropics,,,,,,,,,,,insects,monogamous,The Neotropics,protection,group living,,,,93.41 mm,,34.44 mm,22 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared babbler,Animalia,Chordata,Aves,https://eol.org/pages/7227760,Gampsorhynchus torquatus (Collared Babbler) is a species of birds in the family Pellorneidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,China,"tropical,terrestrial",Stable,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared brushturkey,Animalia,Chordata,Aves,https://eol.org/pages/45517729,Talegalla jobiensis (Collared Brushturkey) is a species of birds in the family megapodes. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,South Pacific,"montane forest,terrestrial",Decreasing,australasia,1705 g,,,,,,,Southeastern Papuan Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared bush robin,Animalia,Chordata,Aves,https://eol.org/pages/45517515,Tarsiger johnstoniae (Collared Bush Robin) is a species of birds in the family Old World flycatchers. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Taiwan,terrestrial,Stable,the palearctic,11.6 g,,,,,,,Nihonkai Evergreen Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared crescentchest,Animalia,Chordata,Aves,https://eol.org/pages/1051173,Melanopareia torquata (Collared Crescent Chest) is a species of birds in the family Melanopareiidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Bolivia,terrestrial,Stable,The Neotropics,18 g,,,,,,,Dry Chaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared crow,Animalia,Chordata,Aves,https://eol.org/pages/916255,Corvus torquatus (Collared Crow) is a species of birds in the family Corvidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,China,,,the palearctic,512 g,,,,,Centrorhynchus,,Yunnan Plateau Subtropical Evergreen Forests,,,,,,,,,,,,,,,,,,,,,Myrsidea intermedia (Piaget 1880),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared falconet,Animalia,Chordata,Aves,https://eol.org/pages/1049231,Microhierax caerulescens (Collared Falconet) is a species of birds in the family falcons. They are listed in cites appendix ii. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,United States,"broadleaf forest,terrestrial",Stable,the palearctic,50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared finchbill,Animalia,Chordata,Aves,https://eol.org/pages/45518816,Spizixos semitorques (Collared Finchbill) is a species of birds in the family bulbuls. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,China,terrestrial,Stable,the indo-malayan realm,31 g,,,,,,Helicia formosana Hemsl.,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45513709,Ficedula albicollis (Collared Flycatcher) is a species of birds in the family Old World flycatchers. They are found in the palearctic and Afrotropics. They are diurnal. They have parental care (occasionally breeds cooperatively). They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,Zimbabwe,terrestrial,Increasing,the palearctic,,terrestrial,9.8 years,invertivore,12.7 g,,,,"University Museum of Zoology, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared forest falcon,Animalia,Chordata,Aves,https://eol.org/pages/45510786,Micrastur semitorquatus (Collard Forest Falcon) is a species of birds in the family falcons. They are listed in cites appendix ii. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,,flight,apatite,corneal eyes,Panama,"scree,terrestrial",Decreasing,The Neotropics,900 g,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared gnatwren,Animalia,Chordata,Aves,https://eol.org/pages/45513386,Microbates collaris (Collared Gnatwren) is a species of birds in the family gnatcatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Brazil,terrestrial,Decreasing,The Neotropics,11.5 g,,,,,,,Guianan Highlands Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared grosbeak,Animalia,Chordata,Aves,https://eol.org/pages/1052778,Rhodothraupis celaeno (Crimson Collared Grosbeak) is a species of birds in the family cardinals. They are found in The Nearctic and The Neotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,United States,arid,,The Nearctic,60 g,,,,,,,Veracruz Montane Forests,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared imperial pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516321,Ducula mullerii (Collared Imperial Pigeon) is a species of birds in the family Columbidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,,20 dB,bipedal movement,apatite,corneal eyes,Indonesia,"swamp,freshwater habitat",Stable,australasia,650 g,,,,,,,Vogelkop Montane Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Collared inca,Animalia,Chordata,Aves,https://eol.org/pages/45512372,Coeligena torquata (Collared Inca) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They visit flowers of Cavendishia bracteata. They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,United States,"temperate,terrestrial",Decreasing,The Neotropics,12.9 g,,,,,,Cavendishia bracteata (Ruiz & Pav. ex A. St. Hilaire) Hørold,,,,,,,,,,,,,1.204 pg,,,,,,,,,,,,,,Cavendishia bracteata (Ruiz & Pav. ex A. St. Hilaire) Hørold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
